ID,sCF,sCF_N,sDF1,sDF1_N,sDF2,sDF2_N,sN,Length
120,33.21,41864.04,33.09,41708.45,33.7,42603.82,126176.308,0.00320587
121,42.96,57790.6,28.19,38547.46,28.85,39939.64,136277.693,0.0786428
122,31.75,41616.96,37.21,48465.42,31.04,41437.93,131520.305,0.0203793
123,32.65,41433.57,36.44,45935.63,30.91,39094.56,126463.753,0.0216094
124,38.29,48260.6,31.27,39336.11,30.44,38133.19,125729.895,0.022168
125,36.79,47311.28,31.48,40787.12,31.73,41126.99,129225.395,0.0455244
126,31.61,40018.35,36.87,46429.49,31.52,39701.77,126149.609,0.002939
127,39.37,50360.58,30.2,39406.08,30.43,39569.14,129335.794,0.0421556
128,33.63,43164.3,31.39,40542.57,34.97,44967.59,128674.464,0.0270043
129,32.89,42858.67,30.92,40103.69,36.19,47007.2,129969.55,0.0162872
130,42.9,58987.94,28.3,39422.93,28.79,40503.55,138914.424,0.0864189
131,37.55,47719.64,32.5,41235.51,29.95,38328.73,127283.879,0.0460411
132,34.39,42433.68,33.1,41067.49,32.52,40632.61,124133.785,0.00894255
133,31.64,39623.36,33.45,41382.54,34.91,43607.02,124612.926,0.00347457
134,32.1,40910.84,36,45676.88,31.9,40800.75,127388.471,0.00338234
135,39.28,50628.46,30.12,38797.8,30.61,39358.86,128785.118,0.0412296
136,30.51,40632.44,30.91,42216.53,38.59,51954.81,134803.785,0.0110188
137,31.86,42718.23,30.63,40756,37.52,49796.33,133270.552,0.0179655
138,34.77,45799.05,35.38,46092.47,29.86,39544.74,131436.253,0.0407596
139,37.82,48132.58,31.4,40026.23,30.78,38984.7,127143.5,0.00684999
140,31.75,40110.72,36.97,46999.13,31.29,39691.43,126801.275,0.00281607
141,37.44,47489.99,30.9,38544.28,31.66,39655.34,125689.606,0.00753273
142,34.1,43404.15,33.71,42726.67,32.19,40622.06,126752.877,0.00504245
143,33.28,41310.69,32.79,41176.43,33.93,42268.41,124755.535,0.00627474
144,42.82,58079.45,28.21,38539.05,28.98,39510.11,136128.603,0.0880296
145,33.58,42907.24,33.54,43223.08,32.88,42479.01,128609.333,0.0120173
146,33.92,42717.73,33.33,43247.36,32.75,41469.76,127434.847,0.0141777
147,34.36,44938.45,31.87,41428.5,33.76,44169.9,130536.849,0.0133521
148,34.54,45003.95,32.97,42365.14,32.48,41505.11,128874.199,0.00318067
149,34.67,44410.03,32.93,42125.97,32.4,41088.61,127624.616,0.00148219
150,34.45,43990.5,32.66,41688.57,32.89,42089.34,127768.406,0.0203037
151,33.24,43297.19,33.75,44023.16,33,42817.59,130137.94,0.00562576
152,34.06,44218.39,32.77,42312.95,33.17,42435.68,128967.019,0.00991226
153,34.81,44970.52,32.34,42763.9,32.85,43443.98,131178.389,0.0236784
154,43.54,59961.24,28.15,39518.2,28.31,39712.35,139191.784,0.0938827
155,35.33,46012.81,32.33,42081.35,32.34,41884.48,129978.639,0.0125037
156,33.93,43644.93,32.83,41346.54,33.24,42527.75,127519.214,0.00203636
157,31.36,39616.75,30.72,39189.06,37.92,48153.49,126959.296,0.0106427
158,30.55,40600.68,28.95,38488.24,40.5,52944.6,132033.519,0.0217451
159,32.04,41576.01,37.7,48529.52,30.26,38625.62,128731.142,0.0203135
160,43.1,57201.51,29.29,40377.36,27.61,37609.86,135188.732,0.012613
161,32.12,44089.15,33.01,44805.63,34.87,47204.85,136099.628,0.0261529
162,34.19,46780.94,33.07,45305.63,32.74,44816.49,136903.059,0.0064721
163,35.72,50651.27,31.54,44618.94,32.74,47023.21,142293.421,0.0183931
164,33.61,47633.75,31.51,44434.48,34.88,49388.43,141456.653,0.0217416
165,35.48,50722.76,31.42,45489.95,33.1,47363.14,143575.85,0.0409814
166,32.33,46715.32,32.59,47476.81,35.08,50238.71,144430.835,0.0387555
167,33.46,47294.36,32.28,45647.83,34.26,48280.22,141222.407,0.0856326
168,32.57,45733.37,32.63,46164.1,34.79,49012.27,140909.739,0.0168208
169,36.16,51436.35,31.55,45108.92,32.29,46556.71,143101.977,0.0523501
170,33.59,47194.11,33.01,46386.08,33.4,47505.05,141085.241,0.0444039
171,33.19,46189.22,33.17,46659.69,33.63,47394.15,140243.057,0.0227195
172,34.63,49082.35,32.96,46966.94,32.41,46176.67,142225.962,0.0268366
173,34.77,49500.93,32.65,46590.31,32.58,46144.83,142236.063,0.00552935
174,33.41,46657.09,33.54,47552.08,33.05,46350.24,140559.418,0.0357301
175,36.35,50088.02,31.35,43836.58,32.31,45041.58,138966.178,0.105472
176,34.46,46747.19,33.41,45292.78,32.13,43238.47,135278.434,0.0335527
177,34.74,47377.38,32.58,44446.84,32.68,44507.98,136332.21,0.0243347
178,33.15,45594.71,32.71,44857.68,34.15,46656.5,137108.884,0.0147769
179,41.77,59347.51,29.07,42097.16,29.16,42494.35,143939.027,0.128415
180,41.35,59191.14,29.89,43219.86,28.76,41370.3,143781.295,0.105365
181,28.9,38669.44,29.05,38756.02,42.05,55192.14,132617.601,0.00334032
182,31.29,39226.18,30.42,39113.87,38.28,47974.43,126314.49,0.00475067
183,32.46,41487.62,31.44,39912.89,36.11,45705.64,127106.147,0.0140916
184,32.31,40820.99,30.8,39205.73,36.89,45594.33,125621.048,0.0111117
185,40.33,51148.61,27.08,35063,32.59,41962.21,128173.82,0.0590031
186,47.22,53316.12,26.67,31108.47,26.11,30618.5,115043.083,0.019854
187,42.97,43154.29,26.43,27373.27,30.6,31150.14,101677.698,0.0210316
188,39.21,37570.52,29.35,28874.36,31.44,31117.17,97562.052,0.00619761
189,38.72,38005.35,30.73,31649.54,30.55,31330.09,100984.978,0.00265928
190,34.78,34961.04,34.33,34222.23,30.89,31130.69,100313.959,0.00567791
191,34.55,35078.16,31.54,32497.32,33.91,34545.27,102120.749,0.0042924
192,34.44,33041.86,29.98,28375.44,35.58,33087.51,94504.811,0.00539037
193,34.64,31366.4,32.81,30566.55,32.55,30588.27,92521.217,0.00373754
194,34.16,31268.57,33.6,31200.02,32.24,29561.9,92030.486,0.00134214
195,38.73,36825.24,30.31,29629.08,30.96,29813.15,96267.474,0.00132313
196,37.06,34787.81,31.23,29106.41,31.71,29688.52,93582.749,0.004258
197,37.34,35926.49,31.95,31618.48,30.71,29726.27,97271.237,0.00121555
198,38,39613.28,35.69,37069.56,26.32,28166.78,104849.619,0.0106897
199,27.8,28199.2,28.72,29596.89,43.48,43259.23,101055.314,0.00314386
200,37.75,31921.29,37.05,30763.12,25.2,21436.57,84120.982,0.00907487
201,33.55,23065.67,32.03,21314.54,34.43,24156.09,68536.293,0.00204322
202,48.43,38075.16,24.24,20158.49,27.33,22511.42,80745.076,0.00426341
203,44.99,53614.98,28.65,34962.47,26.36,32373.25,120950.7,0.0369747
204,32.83,36666.81,34.84,38988.19,32.33,36377.03,112032.031,0.00161469
205,35.93,40927.11,31.34,35967.83,32.73,37252.54,114147.475,0.00380271
206,44.02,58948.25,28.12,38738.89,27.86,38369.76,136056.901,0.0334143
207,35.04,46502.69,31.58,42076.39,33.38,44033.74,132612.824,0.0366836
208,41,55271.68,29.41,39982.63,29.58,40263.93,135518.235,0.0210258
209,31.26,43016.78,32.84,45091.15,35.9,48866.34,136974.262,0.00632759
210,34.06,46390.94,30.71,42052.47,35.22,48145.1,136588.507,0.0556524
211,38.08,52180.6,30.01,40941.61,31.91,43755.08,136877.291,0.055133
212,33.11,46741.91,34.14,47926.78,32.75,45565.54,140234.235,0.0225157
213,33.86,46108.09,33.54,45172.61,32.6,44186.21,135466.907,0.00818521
214,38.47,53907.14,30.91,43268.73,30.62,42829.37,140005.246,0.00693869
215,33.81,48364.89,32.52,46481.62,33.67,47984.6,142831.109,0.00784975
216,32.49,45940.31,32.22,45323.28,35.28,49974.47,141238.053,0.0154948
217,44.18,64290.54,27.63,41073.98,28.2,42233.41,147597.929,0.256021
218,34.24,49288.41,32.44,45964.33,33.32,47481.57,142734.312,0.228707
219,32.95,46157.96,33.3,46885.19,33.76,48442.75,141485.901,0.0322988
220,50.34,74495.13,24.46,36856.19,25.21,38375.78,149727.092,0.0383293
221,42.6,56597.99,28.54,38923.16,28.86,39439.34,134960.486,0.0306315
222,37.6,51705.23,30.98,42917.16,31.42,43996.22,138618.606,0.032522
223,33.86,46574.21,32.89,45703.55,33.25,46240.69,138518.441,0.0222287
224,34.84,48660.1,33.04,46409.96,32.12,45181.47,140251.536,0.0632732
225,33.64,46834.44,32.61,45520.52,33.74,46597.97,138952.928,0.0233769
226,33.47,45299.32,33.91,45940.95,32.62,43692.86,134933.125,0.00528029
227,33.83,46247.98,32.06,43463.5,34.11,45978.54,135690.018,0.0119892
228,34.97,47044.32,32.51,43171.21,32.52,43886.38,134101.898,0.0425411
229,38.36,52017.52,31.02,42495.36,30.62,41270.1,135782.974,0.0786026
230,34.48,46159.35,32.94,44375.03,32.58,43459.55,133993.93,0.0255344
231,36.66,46934.63,32.47,41811.2,30.87,39721.11,128466.94,0.0346388
232,36.6,47611.37,34.34,45346.92,29.06,38712.63,131670.923,0.0708038
233,32.12,41314.68,37.44,47305.9,30.44,38723.97,127344.546,0.00583218
234,42.54,57546.9,28.41,39577.21,29.06,39922.78,137046.886,0.121249
235,33.86,42546.94,33.08,41756.6,33.06,41508.38,125811.919,0.00612641
